appid,playtime_forever,rtime_last_played,name,badgeid,level,completion_time,xp,scarcity,communityitemid,border_color,player_level
72850.0,845.28,1623092117.0,The Elder Scrolls V: Skyrim,1.0,1.0,1525895683.0,100.0,910442.0,7843794814,0.0,18
208650.0,96.12,1642216949.0,Batman™: Arkham Knight,1.0,5.0,1511658674.0,500.0,44691.0,4938180305,0.0,18
212500.0,84.38,1615919094.0,The Lord of the Rings Online™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
498240.0,66.22,1529389252.0,Batman - The Telltale Series,0.0,0.0,0.0,0.0,0.0,0,0.0,18
444090.0,54.27,1618429067.0,Paladins,1.0,1.0,1508475873.0,100.0,109523.0,6204672065,0.0,18
413150.0,49.5,1623094263.0,Stardew Valley,0.0,0.0,0.0,0.0,0.0,0,0.0,18
330840.0,47.68,1507484856.0,Game of Thrones - A Telltale Games Series,0.0,0.0,0.0,0.0,0.0,0,0.0,18
207610.0,40.52,1617658345.0,The Walking Dead,1.0,1.0,1508475486.0,100.0,372414.0,6204651851,0.0,18
241930.0,37.05,1617074317.0,Middle-earth™: Shadow of Mordor™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
675260.0,35.93,1533589289.0,Batman: The Enemy Within - The Telltale Series,0.0,0.0,0.0,0.0,0.0,0,0.0,18
200260.0,21.1,1530488890.0,Batman: Arkham City GOTY,1.0,1.0,1498238848.0,100.0,357107.0,4938147282,0.0,18
379720.0,20.92,1615158918.0,DOOM,0.0,0.0,0.0,0.0,0.0,0,0.0,18
35720.0,19.88,1530509346.0,Trine 2,1.0,1.0,1498147863.0,100.0,294972.0,4907881276,0.0,18
203160.0,17.98,1617563083.0,Tomb Raider,0.0,0.0,0.0,0.0,0.0,0,0.0,18
35140.0,13.38,1498773795.0,Batman: Arkham Asylum GOTY Edition,1.0,1.0,1498149106.0,100.0,372407.0,4908081929,0.0,18
261030.0,12.25,1618196196.0,The Walking Dead: Season Two,0.0,0.0,0.0,0.0,0.0,0,0.0,18
536220.0,8.57,1618346376.0,The Walking Dead: A New Frontier,0.0,0.0,0.0,0.0,0.0,0,0.0,18
20900.0,6.75,1496537456.0,The Witcher: Enhanced Edition,0.0,0.0,0.0,0.0,0.0,0,0.0,18
550.0,5.88,1491624553.0,Left 4 Dead 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
7000.0,4.52,1511674082.0,Tomb Raider: Legend,0.0,0.0,0.0,0.0,0.0,0,0.0,18
292030.0,3.72,1577499406.0,The Witcher 3: Wild Hunt,0.0,0.0,0.0,0.0,0.0,0,0.0,18
728880.0,3.63,1642221987.0,Overcooked! 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
306130.0,3.53,1615857362.0,The Elder Scrolls Online,0.0,0.0,0.0,0.0,0.0,0,0.0,18
6060.0,3.05,1508563919.0,"Star Wars: Battlefront 2 (Classic, 2005)",0.0,0.0,0.0,0.0,0.0,0,0.0,18
22330.0,2.47,1530254833.0,The Elder Scrolls IV: Oblivion ,0.0,0.0,0.0,0.0,0.0,0,0.0,18
544730.0,1.88,1513217815.0,Catan Universe,0.0,0.0,0.0,0.0,0.0,0,0.0,18
209000.0,1.78,1642217231.0,Batman™: Arkham Origins,1.0,1.0,1508475315.0,100.0,238028.0,6204634073,0.0,18
22380.0,1.4,1586439700.0,Fallout: New Vegas,0.0,0.0,0.0,0.0,0.0,0,0.0,18
698780.0,0.77,1514917534.0,Doki Doki Literature Club,0.0,0.0,0.0,0.0,0.0,0,0.0,18
242700.0,0.73,1619765738.0,Injustice: Gods Among Us Ultimate Edition,0.0,0.0,0.0,0.0,0.0,0,0.0,18
391220.0,0.68,1642222807.0,Rise of the Tomb Raider,0.0,0.0,0.0,0.0,0.0,0,0.0,18
866800.0,0.52,1618430929.0,The Walking Dead: The Final Season,0.0,0.0,0.0,0.0,0.0,0,0.0,18
70.0,0.4,1499489342.0,Half-Life,0.0,0.0,0.0,0.0,0.0,0,0.0,18
8000.0,0.25,1511676526.0,Tomb Raider: Anniversary,0.0,0.0,0.0,0.0,0.0,0,0.0,18
291550.0,0.2,1490842659.0,Brawlhalla,0.0,0.0,0.0,0.0,0.0,0,0.0,18
500.0,0.17,1490160415.0,Left 4 Dead,0.0,0.0,0.0,0.0,0.0,0,0.0,18
218620.0,0.03,1498800445.0,PAYDAY 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
35700.0,0.0,0.0,Trine,1.0,1.0,1508475679.0,100.0,114137.0,6204659807,0.0,18
876740.0,0.0,0.0,0,1.0,1.0,1530253900.0,100.0,1177305.0,8379444970,0.0,18
220.0,0.0,0.0,Half-Life 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
340.0,0.0,0.0,Half-Life 2: Lost Coast,0.0,0.0,0.0,0.0,0.0,0,0.0,18
730.0,0.0,0.0,Counter-Strike 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
1250.0,0.0,0.0,Killing Floor,0.0,0.0,0.0,0.0,0.0,0,0.0,18
3830.0,0.0,0.0,Psychonauts,0.0,0.0,0.0,0.0,0.0,0,0.0,18
6020.0,0.0,0.0,STAR WARS™ Jedi Knight: Jedi Academy™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
6030.0,0.0,0.0,STAR WARS™ Jedi Knight II: Jedi Outcast™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
8310.0,0.0,0.0,Bone: Out from Boneville,0.0,0.0,0.0,0.0,0.0,0,0.0,18
8320.0,0.0,0.0,Bone: The Great Cow Race,0.0,0.0,0.0,0.0,0.0,0,0.0,18
8330.0,0.0,0.0,Telltale Texas Hold'Em,0.0,0.0,0.0,0.0,0.0,0,0.0,18
20920.0,0.0,0.0,The Witcher 2: Assassins of Kings Enhanced Edition,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31220.0,0.0,0.0,Sam & Max 301: The Penal Zone,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31230.0,0.0,0.0,Sam & Max 302: The Tomb of Sammun-Mak,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31240.0,0.0,0.0,Sam & Max 303: They Stole Max's Brain!,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31250.0,0.0,0.0,Sam & Max 304: Beyond the Alley of the Dolls,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31260.0,0.0,0.0,Sam & Max 305: The City that Dares not Sleep,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31270.0,0.0,0.0,Puzzle Agent,0.0,0.0,0.0,0.0,0.0,0,0.0,18
31280.0,0.0,0.0,Poker Night at the Inventory,0.0,0.0,0.0,0.0,0.0,0,0.0,18
32370.0,0.0,0.0,STAR WARS™ Knights of the Old Republic™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
32380.0,0.0,0.0,STAR WARS™ Jedi Knight: Dark Forces II,0.0,0.0,0.0,0.0,0.0,0,0.0,18
32390.0,0.0,0.0,STAR WARS™ Jedi Knight: Mysteries of the Sith™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
32400.0,0.0,0.0,STAR WARS™: Dark Forces,0.0,0.0,0.0,0.0,0.0,0,0.0,18
48700.0,0.0,0.0,Mount & Blade: Warband,0.0,0.0,0.0,0.0,0.0,0,0.0,18
55100.0,0.0,0.0,Homefront,0.0,0.0,0.0,0.0,0.0,0,0.0,18
65930.0,0.0,0.0,The Bureau: XCOM Declassified,0.0,0.0,0.0,0.0,0.0,0,0.0,18
94590.0,0.0,0.0,Puzzle Agent 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
94600.0,0.0,0.0,Hector: Ep 1,0.0,0.0,0.0,0.0,0.0,0,0.0,18
94610.0,0.0,0.0,Hector: Ep 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
94620.0,0.0,0.0,Hector: Ep 3,0.0,0.0,0.0,0.0,0.0,0,0.0,18
104900.0,0.0,0.0,ORION: Prelude,0.0,0.0,0.0,0.0,0.0,0,0.0,18
107100.0,0.0,0.0,Bastion,0.0,0.0,0.0,0.0,0.0,0,0.0,18
201830.0,0.0,0.0,Jurassic Park: The Game,0.0,0.0,0.0,0.0,0.0,0,0.0,18
210770.0,0.0,0.0,Sanctum 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
214490.0,0.0,0.0,Alien: Isolation,0.0,0.0,0.0,0.0,0.0,0,0.0,18
218680.0,0.0,0.0,Scribblenauts Unlimited,0.0,0.0,0.0,0.0,0.0,0,0.0,18
225260.0,0.0,0.0,Brütal Legend,0.0,0.0,0.0,0.0,0.0,0,0.0,18
230410.0,0.0,0.0,Warframe,0.0,0.0,0.0,0.0,0.0,0,0.0,18
234140.0,0.0,0.0,Mad Max,0.0,0.0,0.0,0.0,0.0,0,0.0,18
234710.0,0.0,0.0,Poker Night 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
238320.0,0.0,0.0,Outlast,0.0,0.0,0.0,0.0,0.0,0,0.0,18
250320.0,0.0,0.0,The Wolf Among Us,0.0,0.0,0.0,0.0,0.0,0,0.0,18
330830.0,0.0,0.0,Tales from the Borderlands,0.0,0.0,0.0,0.0,0.0,0,0.0,18
391540.0,0.0,0.0,Undertale,0.0,0.0,0.0,0.0,0.0,0,0.0,18
427460.0,0.0,0.0,Battlerite Public Test,0.0,0.0,0.0,0.0,0.0,0,0.0,18
429570.0,0.0,0.0,The Walking Dead: Michonne,0.0,0.0,0.0,0.0,0.0,0,0.0,18
448510.0,0.0,0.0,Overcooked,0.0,0.0,0.0,0.0,0.0,0,0.0,18
504370.0,0.0,0.0,Battlerite,0.0,0.0,0.0,0.0,0.0,0,0.0,18
596350.0,0.0,0.0,Paladins - Public Test,0.0,0.0,0.0,0.0,0.0,0,0.0,18
1085660.0,0.0,0.0,Destiny 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
1286830.0,0.0,0.0,STAR WARS™: The Old Republic™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
2362420.0,0.0,0.0,Mass Effect 2 (2010) Edition,0.0,0.0,0.0,0.0,0.0,0,0.0,18
